store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
ad12d339-9948-4b53-b18f-afe10d8674c4,0.0,60.0,0.0,23.999722,0.0,167.997784
2e9a0a19-29ea-4db5-bdab-1f5ec2696523,0.0,60.0,4.036914,19.962808,23.395307,100.085296
04f696a6-bb96-44da-83f6-aba3df0db6dd,0.0,60.0,0.0,23.999722,0.0,144.996077
8a2cb25f-7409-4a1c-a488-853ab258d13b,60.0,0.0,14.382751,0.116971,101.276399,0.139944
33103a96-acc2-4605-9fa8-10363dc900fb,0.0,60.0,0.0,12.0,0.0,85.883603
a6e1ccaa-30b6-4ace-8f98-8149c3929de2,60.0,0.0,8.916505,4.083218,60.380659,24.034907
e699af9b-1281-4965-8729-cb563d5a2ad4,0.0,60.0,0.0,12.0,0.0,85.882086
c3c77f5e-ac92-4673-8f18-6e28202ea3bd,0.0,60.0,0.0,11.5,0.0,82.398144
22180c58-c269-4ba3-9d20-3aa9c579f5c4,60.0,0.0,14.991547,0.508453,86.8211,1.55959
0df9efde-41eb-4883-a735-ddaac7184a08,0.0,60.0,0.0,12.983333,0.0,93.895246
b7eb80e7-4177-4477-89c6-baa7924cad61,0.0,60.0,0.0,23.999722,0.0,167.910318
1a50eb14-0836-47ab-a782-a42d44a95999,0.0,60.0,0.0,15.999722,0.0,111.909728
81a71c20-9b3a-4a64-b6e5-fbe81e6d2356,60.0,0.0,14.7381,0.011622,103.256282,0.151755
4935cd2b-649e-4069-9b9b-b0da68f30796,0.0,60.0,0.0,23.999722,0.0,107.408748
a91a483d-1138-4651-9a5c-4f3051afccc6,0.0,60.0,0.0,12.0,0.0,94.406704
02837d4e-3d98-44ee-8533-1c6821ae5ab8,0.0,60.0,0.0,23.999722,0.0,100.906578
ed934535-5d26-4343-b963-0d6a0e4a5655,0.0,60.0,0.0,23.999722,0.0,167.904341
4e348bde-4230-4a02-ac54-1564a07a7283,0.0,60.0,0.0,11.25,0.0,80.155249
a5259d44-0e43-450c-b1b5-c4637c5d3ccf,60.0,0.0,12.927007,0.072715,102.73213,0.170669
ab7ce011-ae25-4486-9c16-8e44a0a6236d,0.0,60.0,0.0,12.983333,0.0,93.885234
5f1bcd29-8b9a-455e-a539-d4f227ad64d6,0.0,60.0,0.0,9.75,0.0,78.152766
d7564e8c-0edb-4e6f-aa64-c72b701e3c57,0.0,60.0,0.0,17.999722,0.0,125.900917
1d594cd4-a13c-4b24-8c65-c10032396b99,0.0,60.0,0.0,11.5,0.0,80.402493
c4bbd343-2202-433f-a428-7ddb9b12aa79,0.0,60.0,0.0,12.999722,0.0,102.900004
31875f6c-fb5f-475b-9d97-9bd2d1398ac1,0.0,60.0,0.0,11.5,0.0,80.401421
0958d0f6-5d0d-4b9a-9558-05d6e785620d,0.0,60.0,0.0,12.0,0.0,85.867271
a6da3f97-de0c-4cf9-8547-b71a34939083,0.0,60.0,0.0,11.5,0.0,75.883163
7d0bf834-04c7-44d1-95e0-acab1134866d,0.0,0.0,0.0,6.577854,0.0,71.498333
b29e16d2-dae8-46b5-95b8-a1bea190bf65,0.0,60.0,0.0,12.983333,0.0,93.880408
9a6f73e4-264e-4b44-8c43-f2f7e381fd27,0.0,60.0,0.0,10.416667,0.0,75.314367
2811a6b0-ef93-4e4b-a9a5-50fc536756a3,0.0,60.0,0.0,17.999722,0.0,125.894712
4f3c40e0-74fc-4b9c-82bb-fb58707a2a83,0.0,60.0,0.0,13.0,0.0,89.896482
280d2c12-c2ea-4d0b-89bc-abe2a025266c,60.0,0.0,14.473518,0.526205,104.698719,2.693989
92e352c8-793e-4661-9814-a7e77dedd233,0.0,60.0,0.0,12.0,0.0,94.393601
61e46ccc-b00c-4625-9b54-1e4e2bccf4e6,0.0,60.0,0.0,23.999722,0.0,107.393575
094c0921-98a0-4b04-ada0-52f0f6622e22,0.0,60.0,0.0,23.999722,0.0,107.392106
d8e407db-f58c-4de3-b307-339ddc755abf,0.0,60.0,0.0,12.983333,0.0,90.775665
1fd26682-da5c-44ef-b9b3-e56308f3e770,0.0,60.0,0.0,18.999722,0.0,132.889923
c4e24003-6716-4147-8e45-676fba26f276,60.0,0.0,23.999722,0.0,167.889243,0.0
b09a8e44-8412-47a2-ae7f-8baf2db02df3,0.0,60.0,0.0,10.333333,0.0,71.890563
1e53f864-f13c-4ce9-9a7a-f5c43db01f6d,60.0,0.0,18.967829,0.031893,132.649918,0.237196
dea3684a-87be-43db-86b1-6f6b72ffdfe3,0.0,60.0,0.0,13.0,0.0,89.888484
4293d0ce-6904-4dac-a88f-c49ee6374495,0.0,60.0,0.0,23.999722,0.0,167.885852
1e401b39-db71-4b03-a14a-0dd90c1f23d5,0.0,60.0,0.0,18.999722,0.0,132.885594
5737d2ef-1296-43ec-af72-3a1b0ad6c28a,0.0,60.0,0.0,10.416667,0.0,75.303052
a4454956-2526-48e4-9906-492d4dd43708,60.0,0.0,14.465059,0.534663,104.634258,2.750064
d3759e9f-abc9-4370-9bea-5af88c708544,0.0,60.0,0.0,10.333333,0.0,71.885509
c100a5e8-8e70-40d9-aaa4-1fd0a223ed4b,0.0,60.0,0.0,10.333333,0.0,71.884612
3c4d7b8b-8356-4181-bb5c-99c666fb40dc,0.0,60.0,0.0,12.999722,0.0,102.881992
